dim,deg,parallel_depth,max_cpu,avg_time
2,6,7,30,0.03060328960418701
2,6,7,32,0.029616689682006835
2,6,7,34,0.03187220096588135
2,6,7,36,0.03286080360412598
2,6,7,38,0.03341796398162842
2,6,7,40,0.030710387229919433
2,6,8,2,0.021609187126159668
2,6,8,4,0.023533272743225097
2,6,8,6,0.027570486068725586
2,6,8,8,0.03117105960845947
2,6,8,10,0.0326829195022583
2,6,8,12,0.0321582555770874
2,6,8,14,0.031928205490112306
2,6,8,16,0.030933523178100587
2,6,8,18,0.032381224632263186
2,6,8,20,0.031638813018798825
2,6,8,22,0.03405146598815918
2,6,8,24,0.03315911293029785
2,6,8,26,0.02992880344390869
2,6,8,28,0.030527234077453613
2,6,8,30,0.0303821325302124
2,6,8,32,0.030842304229736328
2,6,8,34,0.03053429126739502
2,6,8,36,0.030173993110656737
2,6,8,38,0.03295619487762451
2,6,8,40,0.030127835273742676
2,7,0,1,0.015424513816833496
2,7,1,2,0.0205965518951416
2,7,1,4,0.02851710319519043
2,7,1,6,0.023119425773620604
2,7,1,8,0.025400233268737794
2,7,1,10,0.024108242988586426
2,7,1,12,0.025285553932189942
2,7,1,14,0.027140998840332033
2,7,1,16,0.025566673278808592
2,7,1,18,0.023011255264282226
